file,case_id,title,game_type,confidence,reasoning,status
airbnb_trust.txt,GTI-AIRBNB_TRUST,Airbnb Trust Game with Platform Intermediation,Unknown,0,Could not normalize payoff matrix,success
airline_hub_entry.txt,GTI-AIRLINE_HUB_ENTRY,Airport Hub Entry and Predatory Pricing,Entry_Deterrence,85,Market entry with deterrence option,success
amazon_publishers.txt,GTI-AMAZON_PUBLISHERS,Amazon vs Publishers Agency Model Ultimatum,Ultimatum,85,Proposer-Responder structure with accept/reject decision,success
apple_epic_games.txt,GTI-APPLE_EPIC_GAMES,Epic vs Apple App Store Commission Dispute,Principal_Agent,85,Principal-agent structure with monitoring/effort decision,success
brexit_negotiation.txt,GTI-BREXIT_NEGOTIATION,Brexit Negotiation Game,Incomplete_Info,30,Incomplete information game - requires Bayesian analysis,success
cuban_missile_crisis.txt,GTI-CUBAN_MISSILE_CRISIS,Cuban Missile Crisis,Mixed_Motive,60,Asymmetric game (unknown) - no specific pattern matched,success
ebay_reputation.txt,GTI-EBAY_REPUTATION,eBay Trust and Reputation System,Unknown,0,Could not normalize payoff matrix,success
irs_auditing.txt,GTI-IRS_AUDITING,Tax Compliance and Audit Enforcement,Inspection_Game,85,Inspection/monitoring structure,success
nk_nuclear_talks.txt,GTI-NK_NUCLEAR_TALKS,US-North Korea Nuclear Commitment Problem,Sequential_Bargaining,75,Commitment/credibility problem in sequential exchange,success
opec_production.txt,GTI-OPEC_PRODUCTION,OPEC Production Quota Cartel,Incomplete_Info,30,Incomplete information game - requires Bayesian analysis,success
open_source_contrib.txt,GTI-OPEN_SOURCE_CONTRIB,Open Source Software Contribution Game,Incomplete_Info,30,Incomplete information game - requires Bayesian analysis,success
pepsi_coke_ads.txt,GTI-PEPSI_COKE_ADS,Pepsi-Coca-Cola Advertising Arms Race,Prisoners_Dilemma,95,"T(4) > R(3) > P(2) > S(1): Defect dominates, social dilemma",success
poker_bluffing.txt,GTI-POKER_BLUFFING,Texas Hold'em Bluffing Equilibrium,Incomplete_Info,30,Incomplete information game - requires Bayesian analysis,success
sports_free_agency.txt,GTI-SPORTS_FREE_AGENCY,Free Agent Bidding War,Incomplete_Info,30,Incomplete information game - requires Bayesian analysis,success
uaw_strike_2023.txt,GTI-UAW_STRIKE_2023,UAW Stand Up Strike vs Auto Companies,Unknown,40,Sequential game - insufficient pattern match,success
uber_lyft_pricing.txt,GTI-UBER_LYFT_PRICING,Uber vs Lyft Pricing War,Prisoners_Dilemma,95,"T(4) > R(3) > P(2) > S(1): Defect dominates, social dilemma",success
vhs_betamax.txt,GTI-VHS_BETAMAX,VHS vs Betamax Format War,Coordination,80,Coordination game with network effects - standard/platform adoption,success
wwi_live_let_live.txt,GTI-WWI_LIVE_LET_LIVE,WWI Trench Warfare Cooperation,Prisoners_Dilemma,95,"T(4) > R(3) > P(2) > S(1): Defect dominates, social dilemma",success
